frame,phase,time,s,x,y,z
0,extension,0.0,0.0,4.6e-05,-0.000156,0.000113
0,extension,0.0,0.00789,0.004483,-0.000532,0.000275
0,extension,0.0,0.01579,0.008703,-0.000995,0.00092
0,extension,0.0,0.02368,0.012898,-0.001969,0.001453
0,extension,0.0,0.03158,0.017378,-0.003488,0.001765
0,extension,0.0,0.03947,0.021582,-0.005507,0.001839
0,extension,0.0,0.04737,0.026184,-0.007758,0.002156
0,extension,0.0,0.05526,0.030293,-0.009962,0.002263
0,extension,0.0,0.06316,0.034673,-0.012718,0.002358
0,extension,0.0,0.07105,0.039134,-0.015167,0.002217
0,extension,0.0,0.07895,0.043742,-0.017813,0.001826
0,extension,0.0,0.08684,0.047641,-0.020065,0.001697
0,extension,0.0,0.09474,0.052088,-0.022504,0.000904
0,extension,0.0,0.10263,0.056545,-0.024243,0.000488
0,extension,0.0,0.11053,0.06069,-0.026011,-0.000311
0,extension,0.0,0.11842,0.065164,-0.027296,-0.001136
0,extension,0.0,0.12632,0.069576,-0.028478,-0.002059
0,extension,0.0,0.13421,0.07391,-0.029465,-0.00316
0,extension,0.0,0.14211,0.078087,-0.029828,-0.004223
0,extension,0.0,0.15,0.082724,-0.03013,-0.005145
1,extension,0.02,0.0,-0.000252,-5e-05,2.4e-05
1,extension,0.02,0.00789,0.004449,4.8e-05,0.000592
1,extension,0.02,0.01579,0.008632,-0.00067,0.001075
1,extension,0.02,0.02368,0.012998,-0.0018,0.001233
1,extension,0.02,0.03158,0.017231,-0.002981,0.001845
1,extension,0.02,0.03947,0.021814,-0.004964,0.002214
1,extension,0.02,0.04737,0.026146,-0.00713,0.002555
1,extension,0.02,0.05526,0.030295,-0.009593,0.002638
1,extension,0.02,0.06316,0.034557,-0.012114,0.002735
1,extension,0.02,0.07105,0.039081,-0.014874,0.00287
1,extension,0.02,0.07895,0.043521,-0.017746,0.002618
1,extension,0.02,0.08684,0.047751,-0.020711,0.002217
1,extension,0.02,0.09474,0.051907,-0.023199,0.002117
1,extension,0.02,0.10263,0.056312,-0.025491,0.001746
1,extension,0.02,0.11053,0.060736,-0.027446,0.000778
1,extension,0.02,0.11842,0.065101,-0.029516,0.000114
1,extension,0.02,0.12632,0.0696,-0.031118,-0.000636
1,extension,0.02,0.13421,0.073851,-0.032097,-0.001882
1,extension,0.02,0.14211,0.078169,-0.032913,-0.00268
1,extension,0.02,0.15,0.082503,-0.033133,-0.003868
2,extension,0.04,0.0,-0.000154,2.7e-05,3.3e-05
2,extension,0.04,0.00789,0.004604,0.000249,0.000513
2,extension,0.04,0.01579,0.008983,-0.000402,0.000846
2,extension,0.04,0.02368,0.012945,-0.001122,0.001218
2,extension,0.04,0.03158,0.017464,-0.002426,0.001667
2,extension,0.04,0.03947,0.021558,-0.00409,0.002446
2,extension,0.04,0.04737,0.026352,-0.005835,0.002762
2,extension,0.04,0.05526,0.030246,-0.009058,0.00305
2,extension,0.04,0.06316,0.034615,-0.011527,0.003141
2,extension,0.04,0.07105,0.039058,-0.014213,0.003379
2,extension,0.04,0.07895,0.043397,-0.017532,0.003115
2,extension,0.04,0.08684,0.04769,-0.020398,0.00352
2,extension,0.04,0.09474,0.052125,-0.02318,0.002939
2,extension,0.04,0.10263,0.05627,-0.026255,0.002532
2,extension,0.04,0.11053,0.061109,-0.028791,0.002258
2,extension,0.04,0.11842,0.064996,-0.030802,0.00155
2,extension,0.04,0.12632,0.06945,-0.032896,0.000627
2,extension,0.04,0.13421,0.073883,-0.034555,-0.000344
2,extension,0.04,0.14211,0.077966,-0.035701,-0.000916
2,extension,0.04,0.15,0.082524,-0.036644,-0.002195
3,extension,0.06,0.0,0.000196,3.3e-05,-6.2e-05
3,extension,0.06,0.00789,0.004605,0.000364,0.00066
3,extension,0.06,0.01579,0.008872,-3.2e-05,0.000698
3,extension,0.06,0.02368,0.013458,-0.000221,0.001374
3,extension,0.06,0.03158,0.017475,-0.001393,0.001734
3,extension,0.06,0.03947,0.021673,-0.003148,0.00232
3,extension,0.06,0.04737,0.026052,-0.005368,0.002869
3,extension,0.06,0.05526,0.030606,-0.007759,0.003314
3,extension,0.06,0.06316,0.034429,-0.010532,0.003419
3,extension,0.06,0.07105,0.038896,-0.01366,0.003739
3,extension,0.06,0.07895,0.043558,-0.0169,0.003936
3,extension,0.06,0.08684,0.047691,-0.020005,0.00411
3,extension,0.06,0.09474,0.052186,-0.023003,0.00384
3,extension,0.06,0.10263,0.056343,-0.026393,0.003672
3,extension,0.06,0.11053,0.060816,-0.029503,0.003285
3,extension,0.06,0.11842,0.065166,-0.031699,0.003049
3,extension,0.06,0.12632,0.069346,-0.034552,0.001907
3,extension,0.06,0.13421,0.073727,-0.036547,0.001533
3,extension,0.06,0.14211,0.078049,-0.038406,0.000129
3,extension,0.06,0.15,0.082476,-0.039804,-0.000645
4,extension,0.08,0.0,-0.000132,-1.4e-05,-0.000264
4,extension,0.08,0.00789,0.004259,0.000782,0.000191
4,extension,0.08,0.01579,0.008761,0.000787,0.00127
4,extension,0.08,0.02368,0.01316,4.1e-05,0.00138
4,extension,0.08,0.03158,0.017965,-0.000962,0.001811
4,extension,0.08,0.03947,0.022148,-0.00217,0.002311
4,extension,0.08,0.04737,0.026287,-0.004369,0.002833
4,extension,0.08,0.05526,0.03049,-0.00654,0.003245
4,extension,0.08,0.06316,0.034808,-0.009249,0.003757
4,extension,0.08,0.07105,0.039132,-0.012436,0.004088
4,extension,0.08,0.07895,0.043313,-0.015681,0.004342
4,extension,0.08,0.08684,0.048077,-0.018935,0.004582
4,extension,0.08,0.09474,0.051991,-0.022849,0.004755
4,extension,0.08,0.10263,0.056487,-0.026099,0.004241
4,extension,0.08,0.11053,0.060929,-0.029482,0.004128
4,extension,0.08,0.11842,0.065061,-0.032698,0.003953
4,extension,0.08,0.12632,0.06943,-0.035674,0.003414
4,extension,0.08,0.13421,0.073839,-0.038035,0.00243
4,extension,0.08,0.14211,0.078122,-0.040459,0.002083
4,extension,0.08,0.15,0.082444,-0.042585,0.001177
5,extension,0.1,0.0,0.000259,-0.00023,0.00013
5,extension,0.1,0.00789,0.004469,0.000597,0.000168
5,extension,0.1,0.01579,0.008956,0.001038,0.000823
5,extension,0.1,0.02368,0.013722,0.000824,0.001276
5,extension,0.1,0.03158,0.018141,3.8e-05,0.001854
5,extension,0.1,0.03947,0.02221,-0.001203,0.002169
5,extension,0.1,0.04737,0.026732,-0.003096,0.002938
5,extension,0.1,0.05526,0.030834,-0.004964,0.00346
5,extension,0.1,0.06316,0.03536,-0.00774,0.0036
5,extension,0.1,0.07105,0.039241,-0.011182,0.004188
5,extension,0.1,0.07895,0.043648,-0.014397,0.004523
5,extension,0.1,0.08684,0.047611,-0.018058,0.004746
5,extension,0.1,0.09474,0.052005,-0.021734,0.0053
5,extension,0.1,0.10263,0.056539,-0.025898,0.005256
5,extension,0.1,0.11053,0.0608,-0.029229,0.005408
5,extension,0.1,0.11842,0.064822,-0.032989,0.005071
5,extension,0.1,0.12632,0.069236,-0.036078,0.00471
5,extension,0.1,0.13421,0.073943,-0.039499,0.004301
5,extension,0.1,0.14211,0.078318,-0.042148,0.003589
5,extension,0.1,0.15,0.082541,-0.044692,0.002759
6,extension,0.12,0.0,-2.3e-05,5.8e-05,0.00015
6,extension,0.12,0.00789,0.004398,0.000708,0.000478
6,extension,0.12,0.01579,0.008976,0.001013,0.000641
6,extension,0.12,0.02368,0.013714,0.001156,0.001249
6,extension,0.12,0.03158,0.018181,0.000847,0.001636
6,extension,0.12,0.03947,0.022827,-0.000242,0.001801
6,extension,0.12,0.04737,0.027101,-0.001735,0.002691
6,extension,0.12,0.05526,0.031391,-0.003895,0.003063
6,extension,0.12,0.06316,0.035237,-0.006284,0.003875
6,extension,0.12,0.07105,0.039782,-0.009129,0.004118
6,extension,0.12,0.07895,0.043523,-0.012618,0.004723
6,extension,0.12,0.08684,0.048039,-0.016366,0.005204
6,extension,0.12,0.09474,0.052219,-0.020497,0.005576
6,extension,0.12,0.10263,0.056342,-0.024556,0.005762
6,extension,0.12,0.11053,0.060913,-0.02863,0.005931
6,extension,0.12,0.11842,0.065092,-0.032579,0.005968
6,extension,0.12,0.12632,0.069175,-0.036603,0.005471
6,extension,0.12,0.13421,0.073466,-0.040128,0.005507
6,extension,0.12,0.14211,0.078115,-0.04331,0.005106
6,extension,0.12,0.15,0.082699,-0.046297,0.004539
7,extension,0.14,0.0,1.4e-05,-0.000126,-8.9e-05
7,extension,0.14,0.00789,0.004374,0.000686,0.000123
7,extension,0.14,0.01579,0.009289,0.00164,0.000259
7,extension,0.14,0.02368,0.013772,0.001446,0.000925
7,extension,0.14,0.03158,0.018206,0.001134,0.001462
7,extension,0.14,0.03947,0.022611,0.000661,0.001697
7,extension,0.14,0.04737,0.027039,-0.000377,0.002409
7,extension,0.14,0.05526,0.031577,-0.002108,0.003241
7,extension,0.14,0.06316,0.035817,-0.004651,0.003811
7,extension,0.14,0.07105,0.040106,-0.007061,0.004301
7,extension,0.14,0.07895,0.044366,-0.010477,0.005093
7,extension,0.14,0.08684,0.048865,-0.014272,0.005326
7,extension,0.14,0.09474,0.052816,-0.018553,0.005783
7,extension,0.14,0.10263,0.056682,-0.022837,0.005952
7,extension,0.14,0.11053,0.060551,-0.027726,0.006166
7,extension,0.14,0.11842,0.065063,-0.031774,0.006788
7,extension,0.14,0.12632,0.06964,-0.036125,0.006582
7,extension,0.14,0.13421,0.073755,-0.040114,0.006447
7,extension,0.14,0.14211,0.078251,-0.043966,0.006317
7,extension,0.14,0.15,0.082329,-0.047434,0.006126
8,extension,0.16,0.0,3.3e-05,0.000215,1.4e-05
8,extension,0.16,0.00789,0.004722,0.000873,6.7e-05
8,extension,0.16,0.01579,0.009133,0.001635,0.000178
8,extension,0.16,0.02368,0.013939,0.002139,0.000684
8,extension,0.16,0.03158,0.018356,0.002082,0.001003
8,extension,0.16,0.03947,0.023066,0.001339,0.001502
8,extension,0.16,0.04737,0.027115,0.000495,0.002324
8,extension,0.16,0.05526,0.031994,-0.000817,0.002506
8,extension,0.16,0.06316,0.035815,-0.002775,0.003732
8,extension,0.16,0.07105,0.040674,-0.00532,0.004082
8,extension,0.16,0.07895,0.044668,-0.008367,0.004657
8,extension,0.16,0.08684,0.049124,-0.011798,0.005289
8,extension,0.16,0.09474,0.053408,-0.016072,0.005915
8,extension,0.16,0.10263,0.057656,-0.020557,0.006122
8,extension,0.16,0.11053,0.061643,-0.025195,0.006857
8,extension,0.16,0.11842,0.065331,-0.029928,0.00696
8,extension,0.16,0.12632,0.069512,-0.034797,0.007081
8,extension,0.16,0.13421,0.073675,-0.039615,0.007285
8,extension,0.16,0.14211,0.077923,-0.043793,0.007073
8,extension,0.16,0.15,0.082672,-0.048324,0.006817
9,extension,0.18,0.0,-0.000253,-0.000124,3.7e-05
9,extension,0.18,0.00789,0.004648,0.000873,-1.9e-05
9,extension,0.18,0.01579,0.009361,0.001547,0.000241
9,extension,0.18,0.02368,0.014064,0.002322,0.000468
9,extension,0.18,0.03158,0.018617,0.002824,0.000729
9,extension,0.18,0.03947,0.023103,0.002268,0.001042
9,extension,0.18,0.04737,0.027504,0.001648,0.001721
9,extension,0.18,0.05526,0.032242,0.000672,0.002216
9,extension,0.18,0.06316,0.036785,-0.000895,0.002951
9,extension,0.18,0.07105,0.040963,-0.003167,0.003675
